Commit标题,作者和时间,Commit链接
CI: adds Debian libc6 dependency to package config,李通洲 committed 2 months ago,https://github.com/fastfetch-cli/fastfetch/commit/adc25f44202068e026ed43a550258986bbd51349
CMake: update contact info,李通洲 committed 2 months ago,https://github.com/fastfetch-cli/fastfetch/commit/229fe7c7bf74157bc2df676b6630b574ae81b95f
Chore: updates FUNDING info,李通洲 committed 2 months ago,https://github.com/fastfetch-cli/fastfetch/commit/5d571752ae97ada3bc5a840b3501c55a2b4830a0
Doc: adds padding check to logo request template,李通洲 committed 2 months ago,https://github.com/fastfetch-cli/fastfetch/commit/512ddfae6b0e5a24144b3ee545ee69ad1d8d6bf7
Logo (Builtin): adds secureblue,李通洲 committed 2 months ago,https://github.com/fastfetch-cli/fastfetch/commit/7b689f94dff42a16e1d80f3c60f49bb42b31490e
CMake (Linux): adds i686 CI build and unify processor naming,李通洲 committed 2 months ago,https://github.com/fastfetch-cli/fastfetch/commit/9eed149b09d1cf0e887e12797b29a63262506898
Chore: updates comments to use English descriptions,李通洲 committed 2 months ago,https://github.com/fastfetch-cli/fastfetch/commit/0f5d321df8e6b305b586a66ec84cfcc6f1185505
CI (OpenBSD): updates CI workflow to upgrade packages before install,李通洲 committed 2 months ago,https://github.com/fastfetch-cli/fastfetch/commit/4e84094fd88557b2386c2058ff8a5dd4527bac9d
CI (Linux): adds GCC 13 toolchain to CI build environment,李通洲 committed 2 months ago,https://github.com/fastfetch-cli/fastfetch/commit/7b9fce0189c73ded464889176e72ca35bcebd023
CI: fix release action,李通洲 committed 2 months ago,https://github.com/fastfetch-cli/fastfetch/commit/9ab5c33008c4bd116135867dacdc29caad7c6efd
Release: v2.53.0,李通洲 committed 2 months ago,https://github.com/fastfetch-cli/fastfetch/commit/4098cf51b35c19a102e5df51f5e14d6b80902404
CPU (Android): adds support for new Qualcomm and MediaTek SoC codes,李通洲 committed 2 months ago,https://github.com/fastfetch-cli/fastfetch/commit/bfc23232f89961ede18a034d821e89ed178f8df0
Doc: update changelog [ci skip],李通洲 committed 2 months ago,https://github.com/fastfetch-cli/fastfetch/commit/483fba44dc3d1e3c364b6adeadefea45d314ce02
CPU (Linux): adds support for new ARM C1 series CPU part IDs,李通洲 committed 2 months ago,https://github.com/fastfetch-cli/fastfetch/commit/851751f99db4a9e170698be8843825177a88d4c2
Zpool: increase libzfs so version to 6,李通洲 committed 2 months ago,https://github.com/fastfetch-cli/fastfetch/commit/3e86130ddd262f6b878cbb54b98a76e938238959
CI: upgrades runner of intel macOS,李通洲 committed 2 months ago,https://github.com/fastfetch-cli/fastfetch/commit/350ffced13bb5415f5af31ac598d05d0a0254562
CPU (Windows): refines ARMv8.4-A detection to require LSE2,李通洲 committed 2 months ago,https://github.com/fastfetch-cli/fastfetch/commit/cdcdb78b97180c7e266b7eaa63951fcbef272b07
Wifi (macOS): add (B)SSID detection back for Tohoe 26.0,李通洲 committed 2 months ago,https://github.com/fastfetch-cli/fastfetch/commit/e95393750bd3e73e6ad01dd4a1e2a557a71c11e8
TerminalFont: improve ghostty with command `ghostty +show-config`,李通洲 committed 2 months ago,https://github.com/fastfetch-cli/fastfetch/commit/de9229697a8ac1712b45bb94543e18b451711312
Disk: refactors mountpoint matching to use shared string utilities,李通洲 committed 2 months ago,https://github.com/fastfetch-cli/fastfetch/commit/57a4b9b6ed7ed7668af307c13046041b03ab2ca8
CommandOption: refactors code with `ffStrbufSeparatedContainIgnCaseS`,李通洲 committed 2 months ago,https://github.com/fastfetch-cli/fastfetch/commit/ef3989d18d641572bb13bd7435b6b39712bf5e0c
FFstrbuf: adds more functions to match separated strings,李通洲 committed 2 months ago,https://github.com/fastfetch-cli/fastfetch/commit/3079b44f639401d7ed6c1098a868de232b293315
Gamepad / Keyboard / Mouse: improves device error handling and memory cleanup,李通洲 committed 2 months ago,https://github.com/fastfetch-cli/fastfetch/commit/403900639cf180256ff93839e8147c8fb39a2a31
Gamepad / Keyboard / Mouse: adds support to ignore input devices by name prefix,李通洲 committed 2 months ago,https://github.com/fastfetch-cli/fastfetch/commit/0bb5b4cc9c6cc450d9c61110a634b4c29bc5378c
Logo (Builtin): adds TempleOS,李通洲 committed 2 months ago,https://github.com/fastfetch-cli/fastfetch/commit/1180eb55a45e0bfcb5ac92a73c5ef687dc191648
Disk: allows array input for disk folder and filesystem options,李通洲 committed 2 months ago,https://github.com/fastfetch-cli/fastfetch/commit/f0e9caaf04ba30853a4c9704afd6433fdc7294ff
CI (Windows): add chafa dependency,李通洲 committed 2 months ago,https://github.com/fastfetch-cli/fastfetch/commit/2c22c3b0c0cde830d1fee3c9f0abb4b050f76ca2
TerminalFont: Improves Ghostty font config parsing with fallback font detection,李通洲 committed 2 months ago,https://github.com/fastfetch-cli/fastfetch/commit/e9065e15e8af128068558013fff94ffa31027589
"Revert ""Logo (Builtin): add Starry Linux""",李通洲 committed 2 months ago,https://github.com/fastfetch-cli/fastfetch/commit/9e7816069b165dbd85be66dd17cc5be3a4e55298
Disk (Linux): avoids invalid disk creation times before Linux epoch,李通洲 committed 2 months ago,https://github.com/fastfetch-cli/fastfetch/commit/82cdc4cd91894b7edc46b313d1c03884d0f3a990
CI: adds glibc polyfill step for compatibility,李通洲 committed 2 months ago,https://github.com/fastfetch-cli/fastfetch/commit/8bd171a9ffde672cf3027efaa94ca2fb26acc921
CI: merge more jobs,李通洲 committed 2 months ago,https://github.com/fastfetch-cli/fastfetch/commit/509d6bf30c0d1e80dbbe3995efcfc2a113438ae1
CI: update cmake version,李通洲 committed 2 months ago,https://github.com/fastfetch-cli/fastfetch/commit/ab8a13b2d32d4826cd7916324ea3799dc990643b
CPU (Windows): trims vendor string read from registry,李通洲 committed 2 months ago,https://github.com/fastfetch-cli/fastfetch/commit/38f4215a941e7febe6f46a3cee8065c2e7039f45
CPU (Windows): handles zero temperature data and refactors value use,李通洲 committed 2 months ago,https://github.com/fastfetch-cli/fastfetch/commit/e3eec3f62ad4cf125d45dc681368710f20e789d8
Wifi (macOS): removes wdutil-based Wi-Fi detection code,李通洲 committed 2 months ago,https://github.com/fastfetch-cli/fastfetch/commit/e025f28cdcc22b8d91a0f1f0900e79bc2483447c
Presets: add a new example [ci skip],李通洲 committed 2 months ago,https://github.com/fastfetch-cli/fastfetch/commit/3ece4e3b4d7cc7489eac5b11610c9aef2043385e
CPU (Linux): add new ARM part numbers,李通洲 committed 2 months ago,https://github.com/fastfetch-cli/fastfetch/commit/6f5e618341977e5c06dd73948f580164150ab7a9
LocalIP: adds IPv6 type selection for local IP display,李通洲 committed 2 months ago,https://github.com/fastfetch-cli/fastfetch/commit/1abfa7023794b704817fd87520ac791effe84d2b
Separator: uses widecharwidth for Unicode wcwidth and fixes issue that wchar_t on Windows is 2-byte length,李通洲 committed 2 months ago,https://github.com/fastfetch-cli/fastfetch/commit/baaeef5ab5af04cc999422ecd46b56e0817a438f
Doc: updates changelog,李通洲 committed 2 hours ago,https://github.com/fastfetch-cli/fastfetch/commit/417b944e1c7daa72b22fc1f09f1b8efb6b7534e4
FFstrbuf: removes an unnecessary `return`,李通洲 committed 2 hours ago,https://github.com/fastfetch-cli/fastfetch/commit/cb8b4b335d4a2e7ddb02a0a05c37b9ad825e2984
Zpool: fixes inconsistant CMake variables,李通洲 committed 2 hours ago,https://github.com/fastfetch-cli/fastfetch/commit/c0160537b0e029864e3b2cf6e54813c65cff7800
Logo (Builtin): tidy,李通洲 committed 2 hours ago,https://github.com/fastfetch-cli/fastfetch/commit/4cb7a6424a3df78906c3448921c50a53d86652ea
Release: v2.55.1,李通洲 committed 19 days ago,https://github.com/fastfetch-cli/fastfetch/commit/c2d5d5cca1c8a1c22f5a03816a115216ff695113
CPU: adds NUMA node detection,李通洲 committed 18 days ago,https://github.com/fastfetch-cli/fastfetch/commit/a94f0efb5b16123365807423f0cc5ecf9e4940bc
Command: Adds splitLines option,李通洲 committed 18 days ago,https://github.com/fastfetch-cli/fastfetch/commit/cd8ab8e55ae148fe0b57d81da981602ab6bc30c6
GPU (macOS): fixes a comment [ci skip],李通洲 committed 18 days ago,https://github.com/fastfetch-cli/fastfetch/commit/1b5b32afad83b923b7ed6602a627e44fb240c5d0
Zpool: uses runtime lookup for zpool properties to ensure portability,李通洲 committed 16 days ago,https://github.com/fastfetch-cli/fastfetch/commit/50388efc78b115efb01a7c2d06980ae475daf1f7
