项目名称,提交ID,提交时间,总变化行数
HandBrake/HandBrake,cd77e54,2025-05-02T08:38:34Z,14
HandBrake/HandBrake,83be6f6,2025-05-01T12:10:59Z,2
HandBrake/HandBrake,5ce4860,2025-05-01T08:27:03Z,485
HandBrake/HandBrake,1ab0f55,2025-04-29T15:47:20Z,1
HandBrake/HandBrake,f06ec69,2025-04-29T11:02:03Z,3
HandBrake/HandBrake,68a4de9,2025-04-26T20:19:15Z,36
HandBrake/HandBrake,df25e41,2025-04-26T15:17:48Z,7
HandBrake/HandBrake,71d8319,2025-04-26T13:22:20Z,8
HandBrake/HandBrake,15b8e93,2025-04-26T13:00:52Z,8
HandBrake/HandBrake,42390e6,2025-04-26T12:18:06Z,31
HandBrake/HandBrake,53bd6dd,2025-04-26T11:55:52Z,14
HandBrake/HandBrake,29aa009,2025-04-25T16:09:16Z,2
HandBrake/HandBrake,20ef2e9,2025-04-24T19:22:42Z,200
HandBrake/HandBrake,0beb0e7,2025-04-24T13:48:06Z,8
HandBrake/HandBrake,3d87932,2025-04-23T21:27:50Z,42
HandBrake/HandBrake,15b78a2,2025-04-23T20:45:52Z,2
HandBrake/HandBrake,0c56f00,2025-04-23T20:31:06Z,125
HandBrake/HandBrake,e4c98db,2025-04-23T20:23:24Z,1692
HandBrake/HandBrake,158f694,2025-04-23T09:46:11Z,10
HandBrake/HandBrake,20c3543,2025-04-21T16:23:09Z,2
HandBrake/HandBrake,eb34858,2025-04-21T15:51:33Z,4
HandBrake/HandBrake,985861c,2025-04-16T20:05:08Z,14
HandBrake/HandBrake,bad7caa,2025-04-16T19:58:57Z,68
HandBrake/HandBrake,e1e9dc0,2025-04-14T18:38:20Z,27
HandBrake/HandBrake,7b0f0df,2025-04-14T18:33:15Z,13
HandBrake/HandBrake,bb2772d,2025-04-14T18:05:24Z,91
HandBrake/HandBrake,7fe0a9b,2025-04-14T17:49:06Z,218
HandBrake/HandBrake,45f7ad8,2025-04-10T06:51:48Z,12
HandBrake/HandBrake,c5012bb,2025-04-09T05:45:41Z,27
HandBrake/HandBrake,ac026a5,2025-04-09T05:44:47Z,4
HandBrake/HandBrake,7f1e373,2025-04-09T05:36:00Z,8
HandBrake/HandBrake,197dd37,2025-04-06T07:11:45Z,6
HandBrake/HandBrake,d0d78f1,2025-04-06T07:11:17Z,6
HandBrake/HandBrake,5523ab7,2025-04-06T07:11:02Z,11
HandBrake/HandBrake,e1ba846,2025-04-05T15:39:38Z,80
HandBrake/HandBrake,a53d20a,2025-04-04T07:36:42Z,308
HandBrake/HandBrake,67184de,2025-04-04T07:36:29Z,13
HandBrake/HandBrake,92c487d,2025-03-30T20:31:34Z,12
HandBrake/HandBrake,5ebec2a,2025-03-28T20:10:01Z,44
HandBrake/HandBrake,f9e7678,2025-03-25T06:38:25Z,32
HandBrake/HandBrake,27e9088,2025-03-22T08:11:03Z,57
HandBrake/HandBrake,895b2ce,2025-03-19T15:25:16Z,22
HandBrake/HandBrake,721a872,2025-03-15T09:23:33Z,143
HandBrake/HandBrake,908b7b4,2025-03-15T07:50:29Z,5527
HandBrake/HandBrake,bbccb64,2025-03-14T17:29:36Z,2
HandBrake/HandBrake,c640c59,2025-03-12T18:42:52Z,49
HandBrake/HandBrake,c4bd91e,2025-03-12T13:31:48Z,29
HandBrake/HandBrake,93a7796,2025-03-12T09:22:01Z,55
HandBrake/HandBrake,eb3a7e7,2025-03-12T07:29:48Z,42
HandBrake/HandBrake,84c43de,2025-03-11T07:03:00Z,51
HandBrake/HandBrake,d750968,2025-03-10T10:24:44Z,46
HandBrake/HandBrake,f02f44a,2025-03-10T07:22:25Z,49
HandBrake/HandBrake,593e3b8,2025-03-09T20:28:15Z,2
HandBrake/HandBrake,b783d41,2025-03-09T12:45:33Z,387
HandBrake/HandBrake,47da6dc,2025-03-08T11:57:46Z,99
HandBrake/HandBrake,9538f45,2025-03-08T10:29:47Z,20
HandBrake/HandBrake,cecaaed,2025-03-08T10:29:35Z,77
HandBrake/HandBrake,ddce333,2025-03-06T21:45:26Z,106
HandBrake/HandBrake,d48fac0,2025-03-06T07:10:48Z,1
HandBrake/HandBrake,ec288d1,2025-03-06T07:10:34Z,101
HandBrake/HandBrake,a5b41ee,2025-03-06T07:08:05Z,15
HandBrake/HandBrake,94d4375,2025-03-05T12:38:06Z,9
HandBrake/HandBrake,c8cd1ca,2025-03-05T12:36:56Z,53
HandBrake/HandBrake,f3290f7,2025-03-05T07:45:25Z,6
HandBrake/HandBrake,69b5aef,2025-03-03T17:50:22Z,4
HandBrake/HandBrake,96d2d86,2025-03-03T09:53:21Z,96
HandBrake/HandBrake,de1390d,2025-03-03T09:51:56Z,39
